fL_a,delta_fL,fL_b,v_g,num_samples,seed,Gamma_T_EE_xi0,Gamma_T_full_xi0,Gamma_T_EE_norm_xi0,Gamma_T_EE_piece_over_2EE0,Gamma_T_PE_piece_over_2EE0,Gamma_T_EP_piece_over_2EE0,Gamma_T_PP_piece_over_2EE0,method
500.0,2.1710493711813488e-05,500.0000217104937,1.0,0,20260723,2.0943951023931953,4.188789560372169,0.9999998461574369,0.5,7.599088773175336e-08,7.599087783295609e-08,0.49999999813920243,exact GR tensor xi=0 angular integral
500.0,2.217016272659737e-05,500.0000221701627,1.0,0,20260723,2.0943951023931953,4.188789560038615,0.9999998460778068,0.5,7.599088773175336e-08,7.59908776233722e-08,0.4999999980595722,exact GR tensor xi=0 angular integral
500.0,2.263956415953614e-05,500.0000226395642,1.0,0,20260723,2.0943951023931953,4.188789559690788,0.999999845994769,0.5,7.599088773175336e-08,7.599087740935084e-08,0.4999999979765342,exact GR tensor xi=0 angular integral
500.0,2.3118904071861016e-05,500.0000231189041,1.0,0,20260723,2.0943951023931953,4.188789559328075,0.9999998459081778,0.5,7.599088773175336e-08,7.599087719079807e-08,0.4999999978899428,exact GR tensor xi=0 angular integral
500.0,2.360839288766864e-05,500.0000236083929,1.0,0,20260723,2.0943951023931953,4.188789558949841,0.9999998458178812,0.5,7.599088773175336e-08,7.5990876967618e-08,0.4999999977996459,exact GR tensor xi=0 angular integral
500.0,2.4108245486294734e-05,500.0000241082455,1.0,0,20260723,2.0943951023931953,4.188789558555421,0.9999998457237202,0.5,7.599088773175336e-08,7.599087673971258e-08,0.49999999770548476,exact GR tensor xi=0 angular integral
500.0,2.4618681296643122e-05,500.0000246186813,1.0,0,20260723,2.0943951023931953,4.188789558144122,0.9999998456255299,0.5,7.599088773175336e-08,7.59908765069818e-08,0.4999999976072942,exact GR tensor xi=0 angular integral
500.0,2.5139924393512387e-05,500.0000251399244,1.0,0,20260723,2.0943951023931953,4.188789557715222,0.9999998455231376,0.5,7.599088773175336e-08,7.59908762693235e-08,0.49999999750490165,exact GR tensor xi=0 angular integral
500.0,2.567220359596175e-05,500.0000256722036,1.0,0,20260723,2.0943951023931953,4.1887895572679685,0.9999998454163636,0.5,7.599088773175336e-08,7.599087602663336e-08,0.49999999739812734,exact GR tensor xi=0 angular integral
500.0,2.6215752567759926e-05,500.00002621575254,1.0,0,20260723,2.0943951023931953,4.1887895568015745,0.9999998453050203,0.5,7.599088773175336e-08,7.599087577880482e-08,0.49999999728678385,exact GR tensor xi=0 angular integral
500.0,2.6770809919960217e-05,500.00002677080994,1.0,0,20260723,2.0943951023931953,4.188789556315223,0.9999998451889123,0.5,7.599088773175336e-08,7.599087552572907e-08,0.4999999971706755,exact GR tensor xi=0 angular integral
